,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,"Software Engineer, Machine Learning",-1,"--COVID-19 Hiring Update--

Dataminr is still actively hiring.

As the health and safety of our candidates and our employees come first,

we're excited to provide virtual experiences for interviews and new hire on-boarding.

This is an office-based role, but we will provide all the necessary support to work remotely until our offices reopen.

Type: Full Time
Experience: 3+ years

Who we are:

We are Dataminr. We are a mission-driven company committed to the power of AI, public data, and real-time information as a force for good in the world. Over the last decade, our team has established and refined the leading AI platform for real-time event and risk detection. We surface the earliest signals of unfolding events and emerging risks within an increasingly diverse and complex landscape of publicly available information, enabling more effective risk mitigation strategies, faster response, and better crisis management. Dataminr serves thousands of professionals in 70+ countries by delivering timely, relevant, and actionable alerts to public and private sector organizations around the world.

We've grown to over 500 talented employees across seven global offices and raised $392 million in funding in our most recent investment round. Our culture promotes cross-team interaction, work-life balance and the sharing of information and ideas because it enables us to do our best work together, make a meaningful contribution, and have fun. Join us and help the world manage risk in real time.

Who you are:

You're an engineer who has a science background or has worked with scientists running experiments, implementing production quality state-of-the art algorithms, and exploring large data sets. You are passionate about having a positive impact on the world. You are enthusiastic about working on some of the most challenging problems in AI and are a passionate builder of solutions that directly contribute to products. You want to advance the state of the art by working closely with scientists to implement novel approaches, and have the skillset to develop engineering solutions to solve real problems in production, at scale.

Responsibilities
Work directly on all aspects of science problems with other members of the AI team: from inception, brainstorming, and reading of scientific literature, to data exploration and implementation of methods created in-house, and productization of these methods.
Work as liaison between the AI Group and engineering teams across the company in defining the right production delivery channels and processes for state-of-the-art algorithms and models (via APIs, libraries, etc.).
In addition to production code, create prototypes and demos, iterating quickly while making savvy choices to ensure that approaches chosen from the literature or developed in-house can scale and are implemented for optimal performance.
Work with the team in solving specific problems at scale in one or more of the following areas: NLP, Information Retrieval, Complex Networks, Recommender Systems, Computer Vision, Machine/Deep Learning, etc..
Work closely with a diverse, interdisciplinary team to deliver value to customers (existing and new products).
Excel in placing a human-centered focus on the work (context, end-user impact, etc), finding solutions that work in practice and have significant impact.
Senior candidates are expected to lead technical areas and/or people.
Minimum qualifications
M.S. in Computer science. Ph.D. studies in any field a plus.
Industry experience (2 or more years) as an Engineer or Data Scientist required.
Experience building services or APIs using object oriented languages and corresponding frameworks
Experience in one or several of the following areas: Machine Learning, Deep Learning, Natural Language Processing, Computer Vision, Knowledge Representation and Management, etc.
Experience in Python, Java, Scala or similar languages.
Expertise with machine learning and deep learning tools (TensorFlow, PyTorch, Scikit-learn, etc.) for experimentation and deployment.
Experience working with scientists, reading technical research papers, and implementing state-of-the-art methods in production.
Why you should work here:

We recognize and reward hard work with:
competitive compensation package including company equity.
paid benefits for employees and their dependents, including medical, dental, vision, disability and life insurance.
401(k) savings plan with company matching.
flexible spending account for out-of-pocket medical, transit, parking and dependent care expenses.
We want you to be your best, authentic self by supporting you with:
a diverse, driven, and passionate team of coworkers who want you to succeed.
opportunities to own and drive important critical projects.
individual Learning and Development fund and professional training.
generous leave and flexible hours.
daily catered lunch and a fully stocked kitchen.
And more!
Dataminr is an equal opportunity and affirmative action employer. Individuals seeking employment at Dataminr are considered without regards to race, sex, color, creed, religion, national origin, age, disability, genetics, marital status, pregnancy, unemployment status, sexual orientation, citizenship status or veteran status.

#LI-BM",-1,"Dataminr
3.8","New York, NY","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
1,Data Scientist,-1,"Join Our Growing Team
A career with A Place for Mom is an opportunity for you to join a rapidly expanding company committed to making a difference for seniors and their families. A Place for Mom is an online platform connecting families searching for senior care services with a team of experienced advisors providing insight-driven and personalized solutions. Our mission, as the leader in senior care advisory, is to be a trusted destination for families and our community customers. We are a quickly growing organization with over 500 advisors connecting more than 300K families every year to one of our community customers.
Living by our values and working to achieve excellence on behalf of our customers is integral to success at A Place for Mom. Employees who thrive at A Place for Mom live our values every day and are an important part of our hiring practices:
Focus on Excellence
Act with Integrity & Assume Positive Intent
Drive Outcomes Every Day with Passion and A Sense of Mission
Make the Lives of our Families and Customers Better, Easier and More Successful
Realize the Full Potential in Each Team Member. Work as a Single Supportive Team
The Position
Based in New York, NY or Overland Park, KS, the Data Scientist builds prediction algorithms that help serves families and our senior living community customers more efficiently. This position will support the sales teams in our efforts to drive continued market share growth. The Data Scientist will work within the Commercial Operations team to increase efficiency and improve the customer experience through the application of statistics and machine learning. This position will support the Sales & Operations teams in our efforts to drive greater market share, improve move-in conversion and grow our bottom line.
Who You Are
You are a self-starter who is passionate about increasing efficiency and improving the customer experience through the application of statistics and machine learning. You are able to work independently and lead efforts to drive lead prioritization, customer segmentation, enhanced data analysis, experimental design & testing, business intelligence, and business reporting. You are a strong communicator and enjoy working with talented and driven people that will challenge you to reach the next level.

Incorporate APFM Values into each customer and co-worker interaction
Design implement and maintain models that optimize the customer experience and help our sales team prioritize the right leads at the right time
Develop predictive models that balance accuracy with human interpretability and help evaluate and improve the early stages of the sales funnel
Deign experiments to test the impact of models on customer conversion and other metrics
Evolve a Random Forest based model that sorts leads near the end of their journey through the sales process
Manage & monitor the day to day operation of the servers running existing models and their connection to data repositories
Develop and evaluate models that segment customers at a number of steps along the sales process, with the ultimate goal of improving the customer’s experience through segmentation
Operate and maintain tools that combine disparate data sources and are written in python and R while developing novel ways to utilize the vast amounts of data that APFM maintains
Collaborate with teams throughout APFM to identify the appropriate metrics, define effective test groups, design experiments, calculate samples sizes and evaluate the results of these tests
Investigate business problems and validate assumptions through statistical analysis
Assist the analyst team in generating reports, troubleshooting reports and pulling data to better understand Commercial Operations and Sales trends & performance
Act as the primary lead for the team’s machine learning and statistics who can define a path forward to address business questions in these areas
As the team grows and the need for statistics and machine learning increases we anticipate that the Data Scientist will manage at least one data analyst

2+ years applying statistical and machine-learning methods to solve business problems
Strong SQL skills
Strong Python programming skills; additional experience in R nice to have but not required
Experience maintaining code repositories in git
Sharp problems solving skills and strong statistics skills
Strong fundamentals and intuition in applied statistics for both prediction and explanation
Able to build, optimize, and test prediction and forecasting models
Familiarity with basic Linux tools
Able to quickly understand business problems and implement experimental designs
Able to balance analytical rigor against meeting deadlines
Knowledge of causal analysis methods
Excellent presentation, writing, and data visualization skills
Experience using AWS to implement data science workflows is a plus
Experience working with product managers and business stakeholders to build products driven by prediction models and insights from data analysis
Ability to convey machine learning and statistics concepts to non-experts
Education Requirements.
Bachelor’s degree in technical field required.
Compensation
The position is a salaried, exempt position.
#LI-AR1",-1,"A Place for Mom
3.1","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,"Enlivant, Sunrise Senior Living, Brookdale Senior Living"
2,Data Scientist,-1,"Join Our Growing Team
A career with A Place for Mom is an opportunity for you to join a rapidly expanding company committed to making a difference for seniors and their families. A Place for Mom is an online platform connecting families searching for senior care services with a team of experienced advisors providing insight-driven and personalized solutions. Our mission, as the leader in senior care advisory, is to be a trusted destination for families and our community customers. We are a quickly growing organization with over 500 advisors connecting more than 300K families every year to one of our community customers.
Living by our values and working to achieve excellence on behalf of our customers is integral to success at A Place for Mom. Employees who thrive at A Place for Mom live our values every day and are an important part of our hiring practices:
Focus on Excellence
Act with Integrity & Assume Positive Intent
Drive Outcomes Every Day with Passion and A Sense of Mission
Make the Lives of our Families and Customers Better, Easier and More Successful
Realize the Full Potential in Each Team Member. Work as a Single Supportive Team
The Position
Based in New York, NY or Overland Park, KS, the Data Scientist builds prediction algorithms that help serves families and our senior living community customers more efficiently. This position will support the sales teams in our efforts to drive continued market share growth. The Data Scientist will work within the Commercial Operations team to increase efficiency and improve the customer experience through the application of statistics and machine learning. This position will support the Sales & Operations teams in our efforts to drive greater market share, improve move-in conversion and grow our bottom line.
Who You Are
You are a self-starter who is passionate about increasing efficiency and improving the customer experience through the application of statistics and machine learning. You are able to work independently and lead efforts to drive lead prioritization, customer segmentation, enhanced data analysis, experimental design & testing, business intelligence, and business reporting. You are a strong communicator and enjoy working with talented and driven people that will challenge you to reach the next level.

Incorporate APFM Values into each customer and co-worker interaction
Design implement and maintain models that optimize the customer experience and help our sales team prioritize the right leads at the right time
Develop predictive models that balance accuracy with human interpretability and help evaluate and improve the early stages of the sales funnel
Deign experiments to test the impact of models on customer conversion and other metrics
Evolve a Random Forest based model that sorts leads near the end of their journey through the sales process
Manage & monitor the day to day operation of the servers running existing models and their connection to data repositories
Develop and evaluate models that segment customers at a number of steps along the sales process, with the ultimate goal of improving the customer’s experience through segmentation
Operate and maintain tools that combine disparate data sources and are written in python and R while developing novel ways to utilize the vast amounts of data that APFM maintains
Collaborate with teams throughout APFM to identify the appropriate metrics, define effective test groups, design experiments, calculate samples sizes and evaluate the results of these tests
Investigate business problems and validate assumptions through statistical analysis
Assist the analyst team in generating reports, troubleshooting reports and pulling data to better understand Commercial Operations and Sales trends & performance
Act as the primary lead for the team’s machine learning and statistics who can define a path forward to address business questions in these areas
As the team grows and the need for statistics and machine learning increases we anticipate that the Data Scientist will manage at least one data analyst

2+ years applying statistical and machine-learning methods to solve business problems
Strong SQL skills
Strong Python programming skills; additional experience in R nice to have but not required
Experience maintaining code repositories in git
Sharp problems solving skills and strong statistics skills
Strong fundamentals and intuition in applied statistics for both prediction and explanation
Able to build, optimize, and test prediction and forecasting models
Familiarity with basic Linux tools
Able to quickly understand business problems and implement experimental designs
Able to balance analytical rigor against meeting deadlines
Knowledge of causal analysis methods
Excellent presentation, writing, and data visualization skills
Experience using AWS to implement data science workflows is a plus
Experience working with product managers and business stakeholders to build products driven by prediction models and insights from data analysis
Ability to convey machine learning and statistics concepts to non-experts
Education Requirements.
Bachelor’s degree in technical field required.
Compensation
The position is a salaried, exempt position.
#LI-AR1",-1,"A Place for Mom
3.1","New York, NY","Mountain View, CA",201 to 500 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
3,Machine Learning Engineer,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"Samsung NEXT
3.5","New York, NY","Austin, TX",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
4,Machine Learning Engineer,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"Seen by Indeed
5.0","New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
5,Data Scientist,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"Via Transportation
3.7","New York, NY","Mountain View, CA",201 to 500 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
6,NLP Machine Learning Engineer,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"Samsung NEXT
3.5","New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Operators,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI"
7,Data Scientist,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"IFG Companies
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee"
8,Data Scientist,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1993,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
9,Research Engineer,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"PDT Partners
4.2","New York, NY","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
